id	name	bigg.reaction	ec-code	kegg.pathway	kegg.reaction	metanetx.reaction
r_1764	ethanolamine exchange	EX_etha_e				
r_1765	ethyl acetate exchange					
r_1766	farnesyl diphosphate transport	FRDPtm				MNXR99646
r_1770	fatty acid transport	FA100tp				MNXR135772
r_1771	fatty acid transport	FA120tp				MNXR135773
r_1772	fatty acid transport	FA140tp				MNXR128297
r_1774	fatty acid transport	FA160tp				MNXR99101
r_1775	fatty acid transport	FA161tp				
r_1776	fatty acid transport	FA80tp				MNXR99126
r_1777	myristate (n-C14:0) transport	TTDCAtr				MNXR128297
r_1788	fecosterol exchange	EX_fecost_e				
r_1790	FMN adenylyltransferase	FMNATm			R00161	MNXR95501
r_1791	FMN exchange	EX_fmn_e				
r_1792	folic acid exchange	EX_fol_e				
r_1793	formate exchange	EX_for_e				
r_1794	formate transport	FORtm				MNXR99620
r_1795	formate transport	FORt				MNXR99620
r_1796	formate transport	FUMtr				MNXR99715
r_1797	fructose-1-phosphate kinase	FRUK				
r_1798	fumarate exchange	EX_fum_e				
r_1800	gamma-aminobutyrate exchange	EX_4abut_e				
r_1801	GDP transport	GDPtg				MNXR100096
r_1802	GDP transport	GDPtn				MNXR100096
r_1803	GDP-alpha-D-mannose transport					MNXR131177
r_1805	glucose transport, vacuolar	GLCtv				MNXR100188
r_1806	glutathione disulfide exchange	EX_gthox_e				
r_1807	glutathione exchange	EX_gthrd_e				
r_1808	glycerol exchange	EX_glyc_e				
r_1809	glycerol-3-phosphate shuttle	GLYC3Ptm				MNXR100308
r_1810	L-glycine exchange	EX_gly_e				
r_1811	glycine transport	GLYtm				MNXR100371
r_1812	glycoaldehyde transport	GCALDtm				MNXR100061
r_1813	glycoaldehyde transport	GCALDt				MNXR100061
r_1814	glycolaldehyde exchange	EX_gcald_e				
r_1815	glyoxylate exchange	EX_glx_e				
r_1816	glyoxylate transport	GLXt				MNXR100306
r_1817	glyoxylate transport	GLXtp				MNXR100306
r_1818	guanine exchange	EX_gua_e				
r_1819	guanine transport	GUAtm				MNXR100465
r_1820	guanosine exchange	EX_gsn_e				
r_1821	guanosine kinase	GSNK			R01228	MNXR100432
r_1822	guanosine transport	GSNtm				MNXR100433
r_1823	guanosine transport	GSNt				MNXR100433
r_1824	H+ diffusion	Ht				MNXR100765
r_1825	H+ diffusion	Htr				MNXR100765
r_1826	H+ diffusion	Htg				MNXR100765
r_1827	H+ diffusion					MNXR100765
r_1829	H+ diffusion	HMR_1095				MNXR100765
r_1830	H+ diffusion	Htx				MNXR100765
r_1831	H+ diffusion					MNXR100765
r_1832	H+ exchange	EX_h_e				
r_1833	hexacosanoyl-CoA transport					MNXR124347
r_1834	hexadecanal exchange					
r_1835	hexadecanoate (n-C16:0) transport	HDCAt				MNXR99101
r_1836	hexadecenoate (n-C16:1) transport	HDCEAt				
r_1837	L-histidine transport, mitochondrial					MNXR100649
r_1838	homocitrate synthase		2.3.3.14	sce00300;sce00620;sce01130;sce01210;sce01230	R00271	MNXR141692
r_1839	hydrogen peroxide transport	H2O2tn				MNXR98640
r_1840	hydroxymethylglutaryl-CoA transport	HMGCOAtm				MNXR100661
r_1841	hypoxanthine exchange	EX_hxan_e				
r_1842	hypoxanthine transport	HYXNt				MNXR100749
r_1843	indol-3-ylacetaldehyde exchange	EX_id3acald_e				
r_1844	indole-3-acetaldehyde transport	ID3ACALDtm				MNXR100791
r_1845	indole-3-acetaldehyde transport	ID3ACALDt				MNXR100791
r_1846	indole-3-acetate transport	IND3ACtm				MNXR100833
r_1847	inosine exchange	EX_ins_e				
r_1848	inosine transport	INSt				MNXR100849
r_1849	inositol hexakisphosphate transport	MINOHPtn				MNXR101585
r_1850	insosine kinase	INSK			R01131	MNXR100845
r_1851	IPC transport					
r_1852	IPC transport					
r_1853	IPC transport					
r_1854	IPC transport					
r_1855	IPC transport					
r_1856	IPC transport					
r_1857	IPC transport					
r_1858	IPC transport					
r_1859	IPC transport					
r_1860	IPC transport					
r_1861	iron(2+) exchange	EX_fe2_e				
r_1862	isoamyl acetate exchange	EX_iamac_e				
r_1863	isoamyl alcohol transport	IAMOHt				MNXR100775
r_1864	isoamyl alcohol transport	IAMOHtm				MNXR100775
r_1865	isoamylol exchange	EX_iamoh_e				
r_1866	isobutanol exchange	EX_ibutoh_e				
r_1867	isobutyl acetate exchange	EX_ibutac_e				
r_1868	isobutyl alcohol transport	IBUTOHt				MNXR100780
r_1869	isobutyl alcohol transport	IBUTOHtm				MNXR100780
r_1870	isobutyraldehyde exchange	EX_2mppal_e				
r_1871	L-1-pyrroline-3-hydroxy-5-carboxylate spontaneous conversion to L-4-hydroxyglutamate semialdehyde	PHCHGSm				
r_1872	L-2-amino-3-oxobutanoate decarboxylation (spontaneous)	AOBUTDs			R03758	MNXR95851
r_1873	L-alanine exchange	EX_ala__L_e				
r_1874	L-alanine transport	ALAtmi				MNXR95706
r_1875	L-arabinitol exchange	EX_abt_e				
r_1876	L-arabinitol transport	ABTt				MNXR95190
r_1877	L-arabinoase transport	ARAB_Lt				MNXR135734
r_1878	L-arabinose exchange	EX_arab__L_e				
r_1879	L-arginine exchange	EX_arg__L_e				
r_1880	L-asparagine exchange	EX_asn__L_e				
r_1881	L-aspartate exchange	EX_asp__L_e				
r_1882	L-carnitine transport	CRNtim				MNXR96906
r_1883	L-cysteine exchange	EX_cys__L_e				
r_1884	L-erythro-4-hydroxyglutamate transport	E4HGLUtm				MNXR97841
r_1885	L-erythro-4-hydroxyglutamate transport	E4HGLUtp				MNXR97841
r_1886	L-glucitol exchange	EX_sbt__L_e				
r_1887	L-glutamate 5-semialdehyde dehydratase	G5SADs			R03314	MNXR99897
r_1889	L-glutamate exchange	EX_glu__L_e				
r_1890	L-glutamate transport					MNXR100301
r_1891	L-glutamine exchange	EX_gln__L_e				
r_1892	L-glutamine transport					MNXR100259
r_1893	L-histidine exchange	EX_his__L_e				
r_1895	L-homoserine transport	r2535				MNXR100678
r_1896	L-homoserine exchange	EX_hom__L_e				
r_1897	L-isoleucine exchange	EX_ile__L_e				
r_1898	L-isoleucine transport	ILEtmi				MNXR100824
r_1899	L-leucine exchange	EX_leu__L_e				
r_1900	L-lysine exchange	EX_lys__L_e				
r_1901	L-malate transport	MALt				MNXR101367
r_1902	L-methionine exchange	EX_met__L_e				
r_1903	L-phenylalanine exchange	EX_phe__L_e				
r_1904	L-proline exchange	EX_pro__L_e				
r_1905	L-proline transport	PROtm				MNXR103213
r_1906	L-serine exchange	EX_ser__L_e				
r_1907	L-serine transport					MNXR104354
r_1908	L-sorbitol transport	SBT_Lt				MNXR104289
r_1909	L-sorbose exchange	EX_srb__L_e				
r_1910	L-sorbose transport	SRB_Lt				MNXR104533
r_1911	L-threonine exchange	EX_thr__L_e				
r_1912	L-tryptophan exchange	EX_trp__L_e				
r_1913	L-tyrosine exchange	EX_tyr__L_e				
r_1914	L-valine exchange	EX_val__L_e				
r_1915	lanosterol exchange	EX_lanost_e				
r_1916	laurate exchange	EX_ddca_e				
r_1919	lysine transport					MNXR101269
r_1920	M(IP)2C transport					
r_1921	M(IP)2C transport					
r_1922	M(IP)2C transport					
r_1923	M(IP)2C transport					
r_1924	M(IP)2C transport					
r_1925	M(IP)2C transport					
r_1926	M(IP)2C transport					
r_1927	M(IP)2C transport					
r_1928	M(IP)2C transport					
r_1929	M(IP)2C transport					
r_1930	malate/oxaloacetate shuttle	MALOAAtp				MNXR101346
r_1931	maltose exchange	EX_malt_e				MNXR123950
r_1932	mannan transport	MANNANter				MNXR101396
r_1935	methionine transport	METtm				MNXR101493
r_1936	methylglyoxal synthase	MGSA			R01016	MNXR101551
r_1937	MIPC transport					
r_1938	MIPC transport					
r_1939	MIPC transport					
r_1940	MIPC transport					
r_1941	MIPC transport					
r_1942	MIPC transport					
r_1943	MIPC transport					
r_1944	MIPC transport					
r_1945	MIPC transport					
r_1946	MIPC transport					
r_1947	myo-inositol exchange	EX_inost_e				
r_1952	N,N'-diformyldityrosine exchange					
r_1963	NADP(+) transport	NADPtru				MNXR101896
r_1964	NADPH transport	NADPHtru				MNXR101894
r_1965	NH3 transport	NH4tm				MNXR101950
r_1966	nicotinamide diffusion					MNXR101918
r_1967	nicotinate exchange	EX_nac_e				
r_1968	NMN exchange	EX_nmn_e				
r_1970	NMN transport	NMNtn				MNXR101972
r_1971	NMN transport					MNXR101972
r_1972	NMN transport	NMNP				MNXR101972
r_1974	nucleoside-diphosphatase (dGDP)	NDP4				MNXR101929
r_1975	nucleoside-triphosphatase (dGTP)	NTP4				MNXR102044
r_1976	O-acetylcarnintine transport into mitochondria	ACRNtm				MNXR95412
r_1977	O2 transport	O2ter				MNXR102090
r_1978	O2 transport	O2tm				MNXR102090
r_1979	O2 transport	O2t				MNXR102090
r_1980	O2 transport	O2tp				MNXR102090
r_1981	octadecanoate (n-C18:0) transport	OCDCAt				MNXR99109
r_1984	octanoate exchange	EX_octa_e				
r_1987	ornithine exchange	EX_orn_e				
r_1988	oxaloacetate transport	OAAt				MNXR102100
r_1989	oxaloacetate(2-) exchange	EX_oaa_e			R00363	MNXR125856
r_1990	oxidized glutathione uniport	GTHOXti				MNXR100443
r_1991	oxidized thioredoxin transport	TRDOXtp				MNXR104921
r_1992	oxygen exchange	EX_o2_e				
r_1993	palmitate exchange	EX_hdca_e				
r_1994	palmitoleate exchange	EX_hdcea_e				
r_1995	palmitoyl-CoA transport	PMTCOAFABP1tc				MNXR103046
r_1996	panthetheine 4'-phosphate transport	PAN4Ptm				MNXR102344
r_1997	panthetheine-phosphate adenylyltransferase	PTPATim			R03035	MNXR95892
r_1998	PAP uniport	PAPt				MNXR102382
r_1999	pectin exchange	EX_pectin_e				
r_2000	phenethyl acetate exchange	EX_pheac_e				
r_2001	phenylacetaldehyde exchange	EX_pacald_e				
r_2002	phenylacetaldehyde transport	PACALDt				MNXR102312
r_2003	phenylacetaldehyde transport	PACALDtm				MNXR102312
r_2004	phenylalanine transport					MNXR102637
r_2005	phosphate exchange	EX_pi_e				
r_2008	phosphate transport					MNXR102871
r_2020	potassium exchange	EX_k_e				
r_2022	protoporphyrinogen IX transport	PPPG9tm				MNXR103127
r_2023	PRPP transport	PRPPtm				MNXR103216
r_2024	putrescine exchange	EX_ptrc_e				
r_2025	pyridoxal kinase	PYDXK			R00174	MNXR103361
r_2026	pyridoxamine kinase	PYDAMK			R02493	MNXR103357
r_2027	pyridoxamine phosphatase	HYPOE			R02494	MNXR100763
r_2028	pyridoxine exchange	EX_pydxn_e				
r_2029	pyridoxine kinase	PYDXNK	2.7.1.35	sce00750	R01909	MNXR103362
r_2030	pyrimidine phosphatase	PMDPHT			R07280	MNXR96145
r_2031	pyrimidine-nucleoside phosphorylase (uracil)	PYNP2r			R01876	MNXR103377
r_2032	pyrophosphate transport	PPItm				MNXR103112
r_2033	pyruvate exchange	EX_pyr_e				
r_2034	pyruvate transport	PYRt2m				MNXR103385
r_2036	quinolinate transport	QULNtm				MNXR103401
r_2037	reduced thioredoxin transport	TRDRDtp				
r_2038	riboflavin exchange	EX_ribflv_e				
r_2039	riboflavin transport	RIBFLVtm				MNXR104033
r_2040	riboflavin transport	r1106				MNXR104033
r_2041	ribose transporter	RIBt				MNXR104036
r_2042	S-adenosyl-L-homocysteine transport	AHCYStm				MNXR95626
r_2043	S-adenosyl-L-methionine exchange	EX_amet_e				
r_2044	S-methyl-L-methionine exchange	EX_mmet_e				
r_2045	serine transport	r1435				MNXR104354
r_2046	sn-glycero-3-phosphocholine exchange	EX_g3pc_e				
r_2049	sodium exchange	EX_na1_e				
r_2050	spermidine acetyltransferase	SPMDAT1				MNXR104491
r_2051	spermidine exchange	EX_spmd_e				
r_2052	spermine exchange	EX_sprm_e				
r_2053	squalene transport	SQLter				MNXR104530
r_2054	squalene-2,3-epoxide transport	SQ23EPXter				MNXR104505
r_2055	stearate exchange	EX_ocdca_e				
r_2056	succinate exchange	EX_succ_e				
r_2057	succinate transport	SUCCt				MNXR104619
r_2058	sucrose exchange	EX_sucr_e				
r_2060	sulphate exchange	EX_so4_e				
r_2061	sulphite exchange	EX_so3_e				MNXR122251
r_2062	taurine exchange	EX_taur_e				
r_2063	tetracosanoyl-CoA transport					MNXR137463
r_2064	thiamin phosphatase	THMP			R02135	MNXR104823
r_2065	thiaminase	TMN			R02133	MNXR104901
r_2066	thiamine(1+) diphosphate(1-) exchange	EX_thmpp_e				
r_2067	thiamine(1+) exchange	EX_thm_e				
r_2068	thiamine(1+) monophosphate exchange	EX_thmmp_e				
r_2069	thiamine-phosphate kinase	TMPK			R00617	MNXR104907
r_2072	threonine transport	thr_mt				MNXR104852
r_2073	thymidine exchange	EX_thymd_e				
r_2074	thymidine kinase (ATP:thymidine)	TMDK1			R01567	MNXR104885
r_2075	thymidine transport	THYMDt1				MNXR104821
r_2079	trehalose transporter	TREt2				MNXR104932
r_2080	trehalose vacuolar transport					MNXR104933
r_2082	tryptophan transport					MNXR104949
r_2083	tryptophol exchange	EX_ind3eth_e				
r_2084	tryptophol transport	IND3ETHt				MNXR100834
r_2085	tryptophol transport	IND3ETHtm				MNXR100834
r_2086	tyrosine transport	r1078				MNXR105002
r_2087	tyrosine transport					MNXR105002
r_2089	UMP transport	UMPtn				MNXR105127
r_2090	uracil exchange	EX_ura_e				
r_2091	urea exchange	EX_urea_e				
r_2092	uridine exchange	EX_uri_e				
r_2093	valine transport	VALt5m				MNXR105190
r_2094	water diffusion	H2Oter				MNXR98641
r_2095	water diffusion	H2Otg				MNXR98641
r_2096	water diffusion	H2Otm				MNXR98641
r_2097	water diffusion	H2Otn				MNXR98641
r_2098	water diffusion	H2Otp				MNXR98641
r_2099	water diffusion	H2Otv				MNXR98641
r_2100	water exchange	EX_h2o_e				
r_2101	xanthine transport	XANt				MNXR105226
r_2102	xanthosine exchange	EX_xtsn_e				
r_2103	xanthosine transport	XTSNtr				MNXR105247
r_2104	xylitol exchange	EX_xylt_e				
r_2105	xylitol transport	XYLTt				MNXR105264
r_2106	zymosterol exchange	EX_zymst_e				
r_2107	zymosterol transport					MNXR105285
r_2108	lipid pseudoreaction - merge					
r_2111	growth					MNXR137261
r_2112	kynurenine aminotransferase		2.6.1.7	sce00380	R01959	MNXR132503
r_2113	spontaneous kynurenic acid to quinaldic acid				R03687	MNXR108341
r_2114	spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate				R04293	MNXR103396
r_2115	alcohol dehydrogenase, (acetaldehyde to ethanol)	ALCD2ir	1.1.1.1	sce00010;sce00071;sce00350;sce01110;sce01130	R00754	MNXR95725
r_2116	acetaldehyde dehydrogenase		1.2.1.3	sce00010;sce00340;sce00350;sce00360;sce00410;sce01110	R00710	MNXR95749
r_2117	phenylalanine transaminase		2.6.1.58;2.6.1.7	sce00350;sce00360;sce00400;sce01110;sce01130	R00692	MNXR125716
r_2118	tryptophan transaminase	araphe3	2.6.1.57;2.6.1.7	sce00350;sce00360;sce00400;sce01110;sce01130	R00684	MNXR104947
r_2119	tyrosine transaminase		2.6.1.57;2.6.1.7	sce00350;sce00360;sce00400;sce01110;sce01130	R00734	MNXR105000
r_2125	coenzyme A: cytoplasm to LP				R00197	MNXR138960
r_2126	sedoheptulose bisphosphatase		3.1.3.37	sce00010;sce00260;sce01110;sce01130;sce01200;sce01230	R01845	MNXR104279
r_2129	proton leak	Htm				MNXR100765
r_2131	isocitrate dehydrogenase	ICDHym	1.1.1.42	sce00020;sce00480;sce01110;sce01130;sce01200;sce01210;sce01230;sce04146	R00267	MNXR100781
r_2132	oxoglutarate/malate exchange	AKGMALtm				MNXR95659
r_2134	14-demethyllanosterol exchange					
r_2136	14-demethyllanosterol transport					MNXR137169
r_2137	ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange					
r_2139	ergosta-5,7,22,24(28)-tetraen-3beta-ol transport					MNXR97951
r_2140	fatty-acyl-CoA synthase (n-C16:0CoA)		2.3.1.86	sce00061;sce01212		
r_2141	fatty-acyl-CoA synthase (n-C18:0CoA)		2.3.1.86	sce00061;sce01212		
r_2142	B-ketoacyl-ACP synthase (acetoacetyl-ACP)	3OAS40_m	2.3.1.41	sce00061;sce00190;sce00780;sce01212		
r_2143	B-ketoacyl-ACP synthase (3-oxo-hexanoyl-ACP)		2.3.1.41	sce00061;sce00190;sce00780;sce01212		
r_2144	B-ketoacyl-ACP synthase (3-oxo-octanoyl-ACP)		2.3.1.41	sce00061;sce00190;sce00780;sce01212		
r_2145	3-oxoacyl-ACP reductase (3-hydroxybutanoyl-ACP)	3OAR40_m	1.1.1.100	sce00061;sce00780;sce01040;sce01130;sce01212		
r_2146	3-oxoacyl-ACP reductase (3-hydroxyhexanoyl-ACP)	3OAR60_m	1.1.1.100	sce00061;sce00780;sce01040;sce01130;sce01212		
r_2147	3-oxoacyl-ACP reductase (3-hydroxyoctanoyl-ACP)		1.1.1.100	sce00061;sce00780;sce01040;sce01130;sce01212		MNXR137225
r_2148	3-hydroxyacyl-thioester dehydratase (trans-but-2-enoyl-ACP)		4.2.1.-			
r_2149	3-hydroxyacyl-thioester dehydratase (trans-hex-2-enoyl-ACP)	3HAD61_m	4.2.1.-			
r_2150	3-hydroxyacyl-thioester dehydratase (trans-oct-2-enoyl-ACP)		4.2.1.-			MNXR137214
r_2151	enoyl-ACP reductase (butanoyl-ACP)		1.3.1.104	sce00062;sce01212		
r_2152	enoyl-ACP reductase (hexanoyl-ACP)		1.3.1.104	sce00062;sce01212		
r_2153	enoyl-ACP reductase (octanoyl-ACP)		1.3.1.104	sce00062;sce01212		
r_2154	elongase I (3-oxotetradecanoyl-CoA)		2.3.1.199	sce00062;sce01040;sce01110;sce01212		MNXR122920
r_2155	elongase I (3-oxopalmitoyl-CoA)		2.3.1.199	sce00062;sce01040;sce01110;sce01212		MNXR122921
r_2156	elongase II (3-oxooctadecanoyl-CoA)		2.3.1.199	sce00062;sce01040;sce01110;sce01212	R07758	MNXR94939
r_2157	elongase II or III (3-oxoicosanoyl-CoA)		2.3.1.199	sce00062;sce01040;sce01110;sce01212		MNXR103450
r_2158	elongase II or III (3-oxodocosanoyl-CoA)		2.3.1.199	sce00062;sce01040;sce01110;sce01212		
r_2159	elongase II or III (3-oxotetracosanoyl-CoA)		2.3.1.199	sce00062;sce01040;sce01110;sce01212		
r_2160	elongase III (3-oxohexacosanoyl-CoA)		2.3.1.199	sce00062;sce01040;sce01110;sce01212		MNXR118002
r_2161	B-ketoacyl-CoA reductase ((S)-3-hydroxytetradecanoyl-CoA)		1.1.1.330	sce00062;sce01040;sce01110;sce01212		
r_2162	B-ketoacyl-CoA reductase ((S)-3-hydroxypalmitoyl-CoA)		1.1.1.330	sce00062;sce01040;sce01110;sce01212		
r_2163	B-ketoacyl-CoA reductase (3-hydroxyoctadecanoyl-CoA)		1.1.1.330	sce00062;sce01040;sce01110;sce01212	R07759	MNXR103465
r_2164	B-ketoacyl-CoA reductase (3-hydroxyicosanoyl-CoA)		1.1.1.330	sce00062;sce01040;sce01110;sce01212		MNXR103451
r_2165	B-ketoacyl-CoA reductase (3-hydroxydocosanoyl-CoA)		1.1.1.330	sce00062;sce01040;sce01110;sce01212		MNXR103455
r_2166	B-ketoacyl-CoA reductase (3-hydroxytetracosanoyl-CoA)		1.1.1.330	sce00062;sce01040;sce01110;sce01212		MNXR118005
r_2167	B-ketoacyl-CoA reductase ((S)-3-hydroxyhexacosanoyl-CoA)		1.1.1.330	sce00062;sce01040;sce01110;sce01212		
r_2168	B-hydroxyacyl-CoA dehydratase (trans-tetradec-2-enoyl-CoA)		4.2.1.134	sce00062;sce01040;sce01110;sce01212	R04740	MNXR97891
r_2169	B-hydroxyacyl-CoA dehydratase (trans-hexadec-2-enoyl-CoA)		4.2.1.134	sce00062;sce01040;sce01110;sce01212		
r_2170	B-hydroxyacyl-CoA dehydratase (trans-octadec-2-enoyl-CoA)		4.2.1.134	sce00062;sce01040;sce01110;sce01212	R07760	MNXR103466
r_2171	B-hydroxyacyl-CoA dehydratase (trans-icos-2-enoyl-CoA)		4.2.1.134	sce00062;sce01040;sce01110;sce01212		
r_2172	B-hydroxyacyl-CoA dehydratase (trans-docos-2-enoyl-CoA)		4.2.1.134	sce00062;sce01040;sce01110;sce01212		
r_2173	B-hydroxyacyl-CoA dehydratase (trans-tetracos-2-enoyl-CoA)		4.2.1.134	sce00062;sce01040;sce01110;sce01212		MNXR118009
r_2174	B-hydroxyacyl-CoA dehydratase (trans-hexacos-2-enoyl-CoA)		4.2.1.134	sce00062;sce01040;sce01110;sce01212		
r_2175	trans-2-enoyl-CoA reductase (n-C14:0CoA)		1.3.1.93	sce00062;sce01040;sce01110;sce01212	R03989	MNXR95374
r_2176	trans-2-enoyl-CoA reductase (n-C16:0CoA)		1.3.1.93	sce00062;sce01040;sce01110;sce01212		
r_2177	trans-2-enoyl-CoA reductase (n-C18:0CoA)		1.3.1.93	sce00062;sce01040;sce01110;sce01212	R07761	MNXR97895
r_2178	trans-2-enoyl-CoA reductase (n-C20:0CoA)		1.3.1.93	sce00062;sce01040;sce01110;sce01212		
r_2179	trans-2-enoyl-CoA reductase (n-C22:0CoA)		1.3.1.93	sce00062;sce01040;sce01110;sce01212		
r_2180	trans-2-enoyl-CoA reductase (n-C24:0CoA)		1.3.1.93	sce00062;sce01040;sce01110;sce01212		
r_2181	trans-2-enoyl-CoA reductase (n-C26:0CoA)		1.3.1.93	sce00062;sce01040;sce01110;sce01212		MNXR118013
r_2182	palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA), ER membrane		1.14.19.1	sce01040;sce01212		
r_2183	stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA), ER membrane		1.14.19.1	sce01040;sce01212		
r_2184	octanoate (n-C8:0) transport	OCTAt				MNXR99126
r_2185	decanoate (n-C10:0) transport	DCATDc				MNXR135772
r_2186	laurate (n-C12:0) transport	r2444				MNXR135773
r_2187	butyrate exchange	EX_but_e				
r_2188	hexanoate exchange	EX_hxa_e				
r_2189	oleate exchange	EX_ocdcea_e				
r_2190	butyrate (n-C4:0) transport	BUTt				
r_2191	hexanoate (n-C6:0) transport	HXAt3				MNXR100750
r_2192	octadecenoate (n-C18:1) transport	OCDCEAt				MNXR99110
r_2193	myristate exchange	EX_ttdca_e				
r_2194	fatty-acid--CoA ligase (dodecanoate), ER membrane		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR120051
r_2195	fatty-acid--CoA ligase (tetradecanoate), ER membrane		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR126663
r_2196	fatty-acid--CoA ligase (hexadecanoate), ER membrane		6.2.1.3	sce00061;sce00071;sce01212;sce04146	R01280	MNXR99153
r_2197	fatty-acid--CoA ligase (hexadecenoate), ER membrane		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR126667
r_2198	fatty-acid--CoA ligase (octadecanoate), ER membrane		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR99164
r_2199	fatty-acid--CoA ligase (octadecenoate), ER membrane		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR122919
r_2200	fatty-acid--CoA ligase (dodecanoate), lipid particle		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR120051
r_2201	fatty-acid--CoA ligase (tetradecanoate), lipid particle		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR126663
r_2202	fatty-acid--CoA ligase (hexadecanoate), lipid particle		6.2.1.3	sce00061;sce00071;sce01212;sce04146	R01280	MNXR99153
r_2203	fatty-acid--CoA ligase (hexadecenoate), lipid particle		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR126667
r_2204	fatty-acid--CoA ligase (octadecanoate), lipid particle		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR99164
r_2205	fatty-acid--CoA ligase (octadecenoate), lipid particle		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR122919
r_2206	fatty-acid--CoA ligase (hexadecenoate), peroxisome	FACOAL161p	6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR126667
r_2207	fatty-acid--CoA ligase (octadecanoate), peroxisome		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR99164
r_2208	fatty-acid--CoA ligase (octadecenoate), peroxisome		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR122919
r_2209	fatty-acid--CoA ligase (arachidate), cell envelope		6.2.1.3	sce00061;sce00071;sce01212;sce04146		
r_2210	fatty-acid--CoA ligase (behenate), cell envelope		6.2.1.3	sce00061;sce00071;sce01212;sce04146		
r_2211	fatty-acid--CoA ligase (lignoceric acid), cell envelope		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR126665
r_2212	fatty-acid--CoA ligase (cerotic acid), cell envelope		6.2.1.3	sce00061;sce00071;sce01212;sce04146		MNXR128076
r_2213	fatty-acid--CoA ligase (behenate), ER membrane					
r_2214	fatty-acid--CoA ligase (lignoceric acid), ER membrane					MNXR126665
r_2215	fatty-acid--CoA ligase (cerotic acid), ER membrane					MNXR128076
r_2216	fatty-acid--CoA ligase (behenate), lipid particle					
r_2217	fatty-acid--CoA ligase (lignoceric acid), lipid particle					MNXR126665
r_2218	fatty-acid--CoA ligase (cerotic acid), lipid particle					MNXR128076
r_2219	fatty acyl-CoA transport via ABC system (C12:0)			sce02010;sce04146		
r_2220	fatty acyl-CoA transport via ABC system (C14:0)			sce02010;sce04146		
r_2221	fatty acyl-CoA transport via ABC system (C16:0)	FA160COAabcp_1		sce02010;sce04146		MNXR99100
r_2222	fatty acyl-CoA transport via ABC system (C16:1)			sce02010;sce04146		
r_2223	fatty acyl-CoA transport via ABC system (C18:0)	STCOATxc		sce02010;sce04146		MNXR104597
r_2224	fatty acyl-CoA transport via ABC system (C18:1)			sce02010;sce04146		
r_2225	fatty acyl-CoA transport via ABC system (C20:0)			sce02010;sce04146		
r_2226	fatty acyl-CoA transport via ABC system (C22:0)	DOCOSCOAtxc		sce02010;sce04146		
r_2227	fatty acyl-CoA transport via ABC system (C24:0)	LGNCCOAtcx_1		sce02010;sce04146		
r_2228	fatty acyl-CoA transport via ABC system (C26:0)			sce02010;sce04146		
r_2229	butyrate (n-C4:0) transport, cytoplasm-peroxisome					
r_2230	hexanoate (n-C6:0) transport, cytoplasm-peroxisome	HXAt2				MNXR100750
r_2231	octadecenoate (n-C18:1) transport, cytoplasm-peroxisome					MNXR99110
r_2232	peroxisomal acyl-CoA thioesterase (4:0)		3.1.2.2	sce00062;sce01040;sce01110		
r_2233	peroxisomal acyl-CoA thioesterase (6:0)	HXCOAx	3.1.2.2	sce00062;sce01040;sce01110		MNXR127520
r_2234	peroxisomal acyl-CoA thioesterase (16:1)		3.1.2.2	sce00062;sce01040;sce01110		MNXR116444
r_2235	peroxisomal acyl-CoA thioesterase (18:1)		3.1.2.2	sce00062;sce01040;sce01110	R08176	MNXR111750
r_2236	acyl-CoA oxidase (butanoyl-CoA)	HMR_3102	1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR127857
r_2237	acyl-CoA oxidase (hexanoyl-CoA)	HMR_3098	1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR127546
r_2238	acyl-CoA oxidase (octanoyl-CoA)		1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		
r_2239	acyl-CoA oxidase (icosanoyl-CoA)		1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		
r_2240	acyl-CoA oxidase (docosanoyl-CoA)		1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		
r_2241	acyl-CoA oxidase (tetracosanoyl-CoA)	HMR_3062	1.3.3.6	sce00071;sce01040;sce01110;sce01212;sce04146		MNXR127548
