gene	classification
YPL028W	TN
YPL036W	TP
YPL040C	TP
YPL053C	TP
YPL057C	TP
YPL059W	TP
YPL060W	TP
YPL061W	TP
YPL069C	TP
YPL076W	FP
YPL078C	TP
YPL087W	TP
YPL091W	TP
YPL092W	TP
YPL095C	TP
YPL096C-A	TP
YPL097W	TP
YPL104W	TP
YPL110C	TP
YPL111W	TP
YPL117C	TN
YPL120W	TP
YPL132W	TP
YPL134C	TP
YPL147W	TP
YPL148C	TP
YPL160W	TN
YPL172C	FN
YPL175W	FP
YPL188W	TP
YPL189W	TP
YPL206C	TP
YPL212C	TP
YPL214C	TP
YPL227C	TP
YPL231W	FP
YPL234C	TP
YPL244C	TP
YPL252C	FP
YPL258C	TP
YPL262W	TP
YPL265W	TP
YPL268W	TP
YPL271W	TP
YPL273W	TP
YPL274W	TP
YPL281C	TP
YPR001W	TP
YPR002W	TP
YPR006C	TP
YPR020W	TP
YPR021C	TP
YPR026W	TP
YPR033C	TN
YPR035W	FP
YPR036W	TP
YPR047W	TP
YPR058W	TP
YPR060C	TP
YPR062W	TP
YPR069C	TP
YPR074C	TP
YPR081C	TP
YPR113W	TN
YPR118W	TP
YPR121W	TP
YPR127W	TP
YPR128C	TP
YPR138C	TP
YPR139C	TP
YPR140W	TP
YPR145W	TP
YPR156C	TP
YPR159W	TP
YPR160W	TP
YPR165W	TN
YPR167C	TP
YPR183W	TN
YPR184W	TP
YPR191W	TP
YPR192W	TP
YPR193C	TP
